datano,fitur0,fitur1,fitur2,fitur3,fitur4,fitur5,fitur6,fitur7,fitur8,fitur9,fitur10,fitur11,fitur12,fitur13,fitur14,fitur15,fitur16,fitur17,fitur18,fitur19,kelas
0,85055,8172,13081,49538,20881,4424,5544,1379,4329,919,2665,9067,8647,1021,13625,1406,1439,2005,1021,5782,1
1,28650,105170,25987,12404,25473,1004,5676,1074,4239,6361,1406,1418,746,3211,1012,985,1156,360,12984,684,1
2,88669,27481,2367,1161,21309,6742,31397,3999,1213,18860,1689,14468,1026,10506,1043,2997,1244,1616,1189,1024,1
3,55473,92524,26006,8869,14365,16691,845,1299,12675,832,1013,838,590,272,1133,2405,1013,1228,979,950,1
4,31642,16006,24193,37107,10848,12868,23597,1733,42187,13284,1320,1055,1363,13263,1269,2699,1186,2431,988,961,1
5,189042,2392,344,8106,589,4629,11330,509,521,512,437,757,6327,5773,408,950,422,2052,4537,363,-1
6,185847,8754,8058,2368,870,2595,295,756,103,9326,516,4779,851,1580,1317,5679,1838,635,3133,700,-1
7,172251,9092,1975,2492,5107,4201,7190,1488,552,8982,872,706,1417,7154,1044,5260,5784,2520,1434,479,-1
8,215811,6566,154,259,468,756,433,97,499,5530,287,470,313,5497,145,650,390,349,849,477,-1
9,210431,1082,6383,376,473,369,4916,6991,124,298,489,104,402,4969,166,128,279,1026,314,680,-1
10,10115,149645,18025,4066,1108,6733,5939,663,6039,7644,2775,6130,3891,1030,3534,569,3357,871,6779,1087,1
11,6170,75815,77166,4405,801,4530,7082,3153,5569,7823,4780,4552,7263,3668,3004,2981,9895,3235,6409,1699,1
12,6699,146278,6452,18021,10254,4056,8359,873,6017,6507,665,2799,1780,3894,1228,6767,1198,3376,520,4257,1
13,1610,190061,1855,6177,1588,17659,3395,353,993,908,606,1853,1530,1154,784,1673,777,3713,1673,1638,1
14,25435,180728,1318,4508,4495,1169,798,4736,1071,2401,3250,925,1004,881,1547,928,2023,1263,1095,425,1
15,34429,15440,21024,26511,59760,14739,15648,10737,7635,6190,5000,3004,1268,4623,1383,1428,2745,4477,1513,2446,1
16,17197,46607,12347,23124,22890,34126,15114,15412,1729,5668,1888,11426,4112,4321,5001,1917,4101,5782,5407,1831,1
17,69876,15537,30548,28880,28768,1849,1893,13124,4645,3413,4987,7759,2893,289,8731,5258,1370,1655,3665,4860,1
18,32804,54497,14005,17852,30512,18445,5973,9373,976,14834,4574,4660,2491,3111,12339,2450,1082,3747,1956,4319,1
19,19185,56501,16802,9586,4584,26893,30715,14007,5184,5643,5606,5875,10614,9588,2109,3466,3754,1632,4308,3948,1
20,23764,98895,23313,49548,16003,303,8283,211,5690,3181,1833,330,1522,1107,1139,798,208,2181,322,1369,-1
21,109450,49691,16060,23735,323,23327,5724,1495,212,374,113,312,442,2010,81,1168,721,2707,1844,211,-1
22,49529,115150,16056,23704,23229,327,2983,452,212,671,506,1892,210,273,69,1444,1122,1436,665,70,-1
23,23111,117182,49544,22638,16060,301,3197,866,1192,211,633,110,1283,85,97,1199,557,350,1176,208,-1
24,41562,97033,55050,28260,7990,150,5990,342,231,194,132,304,823,76,162,482,864,122,47,186,-1
25,137125,2284,555,19632,11580,32975,1466,3878,20487,2774,1216,580,395,820,998,737,1440,497,94,467,-1
26,132744,740,32973,7087,11564,20501,1371,1256,2740,817,841,734,655,2189,1814,400,492,19686,921,475,-1
27,143156,2208,20372,1909,19473,1372,11443,737,393,1078,810,272,2200,489,426,31613,469,465,130,985,-1
28,33048,136535,20500,19635,11578,1281,1201,4167,2762,395,764,734,1663,859,817,2188,537,569,88,679,-1
29,129172,1512,20404,32009,19433,11371,10807,1678,635,1185,819,1976,2723,399,2497,918,781,274,880,527,-1
30,8512,25971,26668,16958,807,2805,22610,2072,30169,26282,5332,551,17072,984,1115,25181,2465,1660,22004,782,-1
31,30414,6100,28926,20420,2010,16079,6982,23875,2890,2226,8039,601,5479,36600,3297,21530,15376,1761,853,6542,-1
32,6950,37609,13661,16858,44404,545,784,43272,318,1724,20010,652,7124,333,2277,1578,38336,715,604,2246,-1
33,8650,35445,29768,2577,39485,1045,378,8026,29124,18710,482,456,834,22183,430,8129,1858,839,31216,365,-1
34,6193,36170,15687,1922,22098,15430,23140,2552,6366,6814,20186,2177,554,2394,12342,914,23418,5917,25796,9930,-1
35,17147,5443,28612,29532,2612,26274,23736,10485,19266,1247,384,815,30651,1222,30590,7186,520,407,3062,809,-1
36,10481,25238,44314,34247,53128,958,22869,18398,3387,8861,1843,3509,3048,746,3254,523,469,1380,890,2457,-1
37,41451,23405,47779,34675,27959,6663,21694,3150,1662,12278,3141,3354,1034,2931,842,1639,686,1998,2658,1001,-1
38,32353,19525,21317,52293,28204,34552,3409,12544,3483,393,8357,3281,1697,4251,345,1190,1470,1252,1075,9009,-1
39,23768,16848,24539,43191,56803,936,10071,33115,1363,2626,10044,393,3235,2762,2469,2776,1472,333,2119,1137,-1
40,37677,33171,50804,15540,21560,24397,12499,2182,3611,9328,792,1455,2799,1062,3061,3297,12066,3412,366,921,-1
41,36218,6391,26295,26879,480,36464,852,233,15225,827,11467,970,19001,29352,51,214,4929,134,301,23717,-1
42,8751,30081,25332,294,279,485,27365,1049,22118,17769,974,424,221,21165,27717,51,247,360,32852,22466,-1
43,21365,3732,22166,720,36567,493,16398,36149,175,238,550,29381,980,25401,274,17085,26796,51,816,663,-1
44,36112,9054,23671,669,36841,13660,234,32792,304,16981,483,1139,52,24921,278,974,10543,29520,950,822,-1
45,27572,10826,28290,30635,28200,459,247,11373,278,217,1165,232,538,38048,1260,684,757,37120,52,22047,-1
46,19479,48459,20465,5017,4721,17089,2581,33261,18762,2564,17646,15281,3077,3633,3158,5495,1038,4906,4280,9088,1
47,47847,10976,10919,25832,24372,34093,5508,4357,2440,3274,4390,13774,3322,14736,5049,6379,5530,9118,2438,5646,1
48,33932,7101,41232,2787,29443,11454,12154,22016,12483,11435,3188,8974,4962,7256,5762,5035,8943,6873,3379,1591,1
49,37372,23966,21958,3459,43599,6226,5781,11501,6212,17215,11467,3120,3043,4546,9837,4050,1035,7568,13693,4352,1
50,8181,15032,45385,8273,5437,11145,2190,6545,15006,19451,20460,23403,3892,3256,32995,3445,4857,4256,4151,2640,1
51,200012,23749,241,537,133,9634,598,197,798,527,297,192,279,214,286,1464,166,142,274,260,-1
52,210741,20295,389,161,464,709,331,506,350,725,499,197,822,354,188,1847,434,512,135,341,-1
53,184811,23916,689,7459,620,660,684,947,9886,938,792,690,2614,823,289,205,1859,1163,699,256,-1
54,221778,217,857,3205,549,7895,1038,254,249,205,817,241,966,285,368,157,87,296,219,317,-1
55,236091,61,77,62,97,64,86,70,38,30,65,404,51,67,52,51,180,46,60,2348,-1
56,7376,8643,11283,58032,1920,53943,13104,2715,5794,3863,4161,5079,2859,12299,8042,14562,10893,4839,6057,4536,1
57,16576,51748,13676,1612,2041,42364,8665,8342,21073,5963,3671,12075,2201,5688,9759,4392,19511,1382,1816,7445,1
58,36849,1829,19190,45599,32374,5614,32699,5435,2216,7333,1293,14005,7754,10778,4328,2341,2469,4196,765,2933,1
59,3760,51477,2706,53013,6484,19624,23757,6660,23976,5387,4493,2690,14527,4528,2523,6504,2378,2338,2472,703,1
60,4066,14716,6771,8494,45127,6459,4044,53180,1859,5766,23966,6406,27356,4579,3005,4791,10682,4298,2865,1570,1
61,3038,29285,2419,3866,57257,1044,1802,2119,65454,932,23700,387,217,1758,38092,897,3599,2177,894,1063,-1
62,30255,17420,1441,41502,718,15683,1907,2203,290,34864,209,400,39738,25093,353,135,347,467,2568,24407,-1
63,24375,44007,2161,12954,573,1626,14150,29635,400,44652,286,19236,1983,506,23301,771,1481,377,17378,148,-1
64,105348,17152,922,903,33648,1027,1077,461,1619,1495,29349,142,2779,1008,1219,674,1045,38287,934,911,-1
65,24144,789,4999,1735,44956,7588,522,542,780,85637,941,32917,2447,622,29693,491,558,46,188,405,-1
66,44448,7349,37492,49738,18498,6627,35981,3175,1912,937,3443,1309,4078,604,18747,1535,1744,993,396,994,1
67,5255,40039,63163,18515,31752,19680,10404,1629,1056,11293,1673,3667,323,15987,5228,2817,4546,1139,302,1532,1
68,11713,27734,92434,26733,40369,770,743,22101,1409,3855,874,314,2598,2802,670,252,2180,875,653,921,1
69,48674,682,13574,54154,3217,7132,56335,798,552,12454,2362,930,707,396,2980,4690,9482,908,4576,15397,1
70,2070,62131,57302,63979,14547,8715,6040,676,263,7592,2240,788,3842,1196,4746,754,319,777,875,1148,1
71,198987,1921,4801,5084,1656,467,3170,6746,852,694,6888,1130,1281,347,380,1671,1452,386,611,1476,-1
72,212484,4912,1268,4384,1119,645,695,4800,1437,2625,532,374,1070,491,231,1086,379,489,141,838,-1
73,205189,5912,1792,614,1430,3930,5021,706,485,966,705,1376,1156,1428,2620,3639,1259,989,564,219,-1
74,213390,6719,5104,295,383,4800,450,674,1869,179,258,297,249,472,1495,1591,507,623,407,238,-1
75,204445,4886,4800,506,4120,673,673,955,6850,484,803,510,2709,813,1695,1766,1683,292,626,711,-1
76,25150,11065,47892,575,278,721,40188,1087,520,1240,464,8383,1458,15221,25656,217,23129,35165,603,988,-1
77,31163,15668,4369,1527,36060,831,45005,1928,10879,2240,833,1116,779,20368,2474,677,1590,23690,1412,37391,-1
78,46963,1921,18901,41369,2679,368,1797,1268,1185,1988,1308,24777,340,38541,1788,1172,1397,2617,45414,4207,-1
79,22109,9016,21927,600,25841,933,8799,18484,866,29648,5903,1130,13535,26579,600,1383,20161,1119,16678,14689,-1
80,38440,9142,4311,32626,1966,7775,6577,10009,3629,20484,606,31951,278,8501,1017,1659,1781,20544,38215,489,-1
81,21022,22988,17539,88462,6209,12154,4152,8356,8811,1586,15445,3277,8812,707,5608,4864,2670,1254,2372,3712,1
82,11729,43386,73648,2043,3508,24273,2436,4995,1972,7941,6231,1968,1009,7472,538,1111,31413,8742,3888,1697,1
83,136585,8110,13015,6495,4579,3468,13313,11405,1151,3325,9770,4593,2433,7969,1163,4954,1531,2107,2204,1830,1
84,2363,3479,12362,5727,18435,64758,42493,22612,6363,11295,3709,8364,15984,1254,8836,4480,704,3194,2090,1498,1
85,18651,38725,34946,1179,49754,25860,4249,3615,2638,4584,3111,8080,7966,4295,7762,2910,3841,1933,6128,9773,1
86,194809,8786,2434,1930,1533,851,1489,12074,241,1631,335,433,786,483,676,253,230,8230,733,2063,-1
87,198370,620,3712,2558,667,1205,2444,3353,896,305,1537,913,3968,859,2642,3698,1323,1716,8849,365,-1
88,196102,826,4236,4191,1340,2483,876,4258,640,1591,3247,2403,2041,1324,3321,6016,292,2636,1709,468,-1
89,2315,7477,15419,2446,1224,8308,107884,948,1291,1628,7051,985,785,7883,38750,264,32995,1165,874,308,-1
90,51521,5868,10125,29924,5918,2578,1931,36797,1446,1466,4605,23888,2033,22810,1210,7191,1165,26785,1292,1447,-1
91,18091,201892,7464,3469,406,365,487,550,816,488,422,422,580,213,752,1239,967,570,494,313,-1
92,856,1322,7706,19772,545,3467,508,696,1675,1060,384,384,1902,766,862,1250,637,359,800,195049,-1
93,213172,8725,7390,271,149,645,410,308,889,2407,194,305,844,656,392,680,528,1333,286,416,-1
94,212088,5062,6748,2061,555,566,1474,539,141,1194,485,509,265,515,1830,999,330,1247,642,2750,-1
95,225374,7627,329,407,163,236,222,293,282,523,2171,196,207,125,683,153,290,223,374,122,-1
96,238349,259,61,17,78,39,104,49,41,99,42,48,168,94,59,47,284,44,27,91,-1
97,217564,6797,801,638,448,432,3748,3932,279,135,663,1193,363,556,602,225,197,335,823,269,-1
98,186036,1718,8346,6913,1452,4726,750,4134,1487,1155,1321,1666,2733,1955,738,1216,1246,143,1448,10817,-1
99,163028,12120,5421,1963,1778,1615,2019,757,3839,1772,2541,1045,4929,5184,5367,3568,2784,8023,7193,5054,-1
100,718,75695,134360,1094,737,1880,1121,909,631,2457,7456,1175,752,2685,516,909,1211,3013,2459,222,-1
101,106810,44907,6016,7256,10787,3679,3571,793,1332,936,3670,8349,12334,4072,2625,2436,5895,2361,8284,3887,1
102,10761,113819,18114,10700,10683,5975,16841,2736,5613,1823,5601,4009,7256,5924,2962,3679,1177,6408,2593,3326,1
103,2787,115294,3521,18062,10040,19953,5658,4859,10691,2531,8857,2478,3434,4306,11146,2773,3397,751,6663,2799,1
