datano,fitur0,fitur1,fitur2,fitur3,fitur4,fitur5,fitur6,fitur7,fitur8,fitur9,fitur10,fitur11,fitur12,fitur13,fitur14,fitur15,fitur16,fitur17,fitur18,fitur19,kelas
1,0.354395833,0.03405,0.054504167,0.206408333,0.087004167,0.018433333,0.0231,0.005745833,0.0180375,0.003829167,0.011104167,0.037779167,0.036029167,0.004254167,0.056770833,0.005858333,0.005995833,0.008354167,0.004254167,0.024091667,1
2,0.119375,0.438208333,0.108279167,0.051683333,0.1061375,0.004183333,0.02365,0.004475,0.0176625,0.026504167,0.005858333,0.005908333,0.003108333,0.013379167,0.004216667,0.004104167,0.004816667,0.0015,0.0541,0.00285,1
3,0.369454167,0.114504167,0.0098625,0.0048375,0.0887875,0.028091667,0.130820833,0.0166625,0.005054167,0.078583333,0.0070375,0.060283333,0.004275,0.043775,0.004345833,0.0124875,0.005183333,0.006733333,0.004954167,0.004266667,1
4,0.2311375,0.385516667,0.108358333,0.036954167,0.059854167,0.069545833,0.003520833,0.0054125,0.0528125,0.003466667,0.004220833,0.003491667,0.002458333,0.001133333,0.004720833,0.010020833,0.004220833,0.005116667,0.004079167,0.003958333,1
5,0.131841667,0.066691667,0.100804167,0.1546125,0.0452,0.053616667,0.098320833,0.007220833,0.175779167,0.05535,0.0055,0.004395833,0.005679167,0.0552625,0.0052875,0.011245833,0.004941667,0.010129167,0.004116667,0.004004167,1
6,0.787675,0.009966667,0.001433333,0.033775,0.002454167,0.0192875,0.047208333,0.002120833,0.002170833,0.002133333,0.001820833,0.003154167,0.0263625,0.024054167,0.0017,0.003958333,0.001758333,0.00855,0.018904167,0.0015125,-1
7,0.7743625,0.036475,0.033575,0.009866667,0.003625,0.0108125,0.001229167,0.00315,0.000429167,0.038858333,0.00215,0.0199125,0.003545833,0.006583333,0.0054875,0.0236625,0.007658333,0.002645833,0.013054167,0.002916667,-1
8,0.7177125,0.037883333,0.008229167,0.010383333,0.021279167,0.017504167,0.029958333,0.0062,0.0023,0.037425,0.003633333,0.002941667,0.005904167,0.029808333,0.00435,0.021916667,0.0241,0.0105,0.005975,0.001995833,-1
9,0.8992125,0.027358333,0.000641667,0.001079167,0.00195,0.00315,0.001804167,0.000404167,0.002079167,0.023041667,0.001195833,0.001958333,0.001304167,0.022904167,0.000604167,0.002708333,0.001625,0.001454167,0.0035375,0.0019875,-1
10,0.876795833,0.004508333,0.026595833,0.001566667,0.001970833,0.0015375,0.020483333,0.029129167,0.000516667,0.001241667,0.0020375,0.000433333,0.001675,0.020704167,0.000691667,0.000533333,0.0011625,0.004275,0.001308333,0.002833333,-1
11,0.042145833,0.623520833,0.075104167,0.016941667,0.004616667,0.028054167,0.024745833,0.0027625,0.0251625,0.03185,0.0115625,0.025541667,0.0162125,0.004291667,0.014725,0.002370833,0.0139875,0.003629167,0.028245833,0.004529167,1
12,0.025708333,0.315895833,0.321525,0.018354167,0.0033375,0.018875,0.029508333,0.0131375,0.023204167,0.032595833,0.019916667,0.018966667,0.0302625,0.015283333,0.012516667,0.012420833,0.041229167,0.013479167,0.026704167,0.007079167,1
13,0.0279125,0.609491667,0.026883333,0.0750875,0.042725,0.0169,0.034829167,0.0036375,0.025070833,0.0271125,0.002770833,0.0116625,0.007416667,0.016225,0.005116667,0.028195833,0.004991667,0.014066667,0.002166667,0.0177375,1
14,0.006708333,0.791920833,0.007729167,0.0257375,0.006616667,0.073579167,0.014145833,0.001470833,0.0041375,0.003783333,0.002525,0.007720833,0.006375,0.004808333,0.003266667,0.006970833,0.0032375,0.015470833,0.006970833,0.006825,1
15,0.105979167,0.753033333,0.005491667,0.018783333,0.018729167,0.004870833,0.003325,0.019733333,0.0044625,0.010004167,0.013541667,0.003854167,0.004183333,0.003670833,0.006445833,0.003866667,0.008429167,0.0052625,0.0045625,0.001770833,1
16,0.143454167,0.064333333,0.0876,0.1104625,0.249,0.0614125,0.0652,0.0447375,0.0318125,0.025791667,0.020833333,0.012516667,0.005283333,0.0192625,0.0057625,0.00595,0.0114375,0.018654167,0.006304167,0.010191667,1
17,0.071654167,0.194195833,0.051445833,0.09635,0.095375,0.142191667,0.062975,0.064216667,0.007204167,0.023616667,0.007866667,0.047608333,0.017133333,0.018004167,0.0208375,0.0079875,0.0170875,0.024091667,0.022529167,0.007629167,1
18,0.29115,0.0647375,0.127283333,0.120333333,0.119866667,0.007704167,0.0078875,0.054683333,0.019354167,0.014220833,0.020779167,0.032329167,0.012054167,0.001204167,0.036379167,0.021908333,0.005708333,0.006895833,0.015270833,0.02025,1
19,0.136683333,0.227070833,0.058354167,0.074383333,0.127133333,0.076854167,0.0248875,0.039054167,0.004066667,0.061808333,0.019058333,0.019416667,0.010379167,0.0129625,0.0514125,0.010208333,0.004508333,0.0156125,0.00815,0.017995833,1
20,0.0799375,0.235420833,0.070008333,0.039941667,0.0191,0.112054167,0.127979167,0.0583625,0.0216,0.0235125,0.023358333,0.024479167,0.044225,0.03995,0.0087875,0.014441667,0.015641667,0.0068,0.01795,0.01645,1
21,0.099016667,0.4120625,0.0971375,0.20645,0.066679167,0.0012625,0.0345125,0.000879167,0.023708333,0.013254167,0.0076375,0.001375,0.006341667,0.0046125,0.004745833,0.003325,0.000866667,0.0090875,0.001341667,0.005704167,-1
22,0.456041667,0.207045833,0.066916667,0.098895833,0.001345833,0.097195833,0.02385,0.006229167,0.000883333,0.001558333,0.000470833,0.0013,0.001841667,0.008375,0.0003375,0.004866667,0.003004167,0.011279167,0.007683333,0.000879167,-1
23,0.206370833,0.479791667,0.0669,0.098766667,0.0967875,0.0013625,0.012429167,0.001883333,0.000883333,0.002795833,0.002108333,0.007883333,0.000875,0.0011375,0.0002875,0.006016667,0.004675,0.005983333,0.002770833,0.000291667,-1
